word,positions
001001,9
001002,25
001003,45
001004,69
001005,84
001006,121
001007,137
001008,152
001009,169
001010,192
001011,204
001012,219
001013,233
001014,262
001015,274
001016,304
001017,316
001018,354
001019,379
001020,402
001021,430
001022,446
001023,472
001024,488
001025,502
001026,523
001027,542
001028,567
001029,587
001030,609
001031,624
001032,640
001033,663
001034,679
001035,697
001036,731
001037,757
001038,765
001039,791
001040,811
001041,823
001042,846
001043,867
001044,882
001045,902
001046,922
001047,930
001048,941
001049,961
001050,977
001051,990
001052,1008
001053,1020
001054,1040
001055,1053
001056,1067
001057,1082
001058,1100
001059,1121
001060,1138
001061,1148
001062,1161
001063,1174
001064,1190
001065,1206
001066,1232
001067,1256
001068,1268
001069,1289
001070,1306
001071,1322
001072,1337
001073,1351
001074,1365
001075,1378
001076,1391
001077,1414
001078,1430
001079,1448
001080,1476
002001,1500
002002,1522
002003,1535
002004,1546
002005,1580
002006,1596
002007,1613
002008,1641
002009,1660
002010,1682
002011,1705
002012,1724
002013,1743
002014,1760
002015,1777
002016,1814
002017,1831
002018,1847
002019,1863
002020,1874
002021,1897
002022,1925
002023,1951
002024,1973
002025,2000
002026,2026
002027,2048
002028,2075
002029,2088
002030,2102
002031,2110
002032,2121
002033,2136
002034,2151
002035,2181
002036,2199
002037,2228
002038,2253
002039,2276
002040,2299
002041,2320
002042,2331
002043,2346
002044,2368
002045,2389
002046,2398
002047,2421
002048,2436
002049,2464
002050,2484
002051,2494
002052,2519
003001,2538
003002,2576
003003,2598
003004,2617
003005,2646
003006,2667
003007,2675
003008,2705
003009,2738
003010,2764
003011,2772
003012,2796
003013,2813
003014,2826
003015,2856
003016,2881
003017,2925
003018,2954
003019,2967
003020,2995
003021,3006
003022,3025
003023,3056
003024,3077
003025,3093
003026,3109
003027,3125
003028,3141
003029,3157
003030,3173
003031,3189
003032,3205
003033,3221
003034,3237
003035,3253
003036,3269
003037,3285
003038,3301
004001,3315
004002,3333
004003,3355
004004,3375
004005,3395
004006,3413
004007,3443
004008,3450
004009,3471
004010,3495
004011,3514
004012,3532
004013,3546
004014,3561
004015,3583
004016,3594
004017,3618
004018,3637
004019,3689
004020,3698
004021,3724
004022,3740
004023,3767
004024,3796
004025,3811
004026,3846
004027,3869
004028,3891
004029,3904
004030,3932
004031,3944
004032,3958
004033,3972
004034,3992
004035,4013
004036,4044
004037,4073
004038,4087
004039,4114
004040,4135
004041,4165
004042,4196
004043,4226
004044,4251
005001,4260
005002,4280
005003,4297
005004,4329
